NAME,CZ,LOGMSTAR,LOGMH,RADEG,DEDEG,GRPCZ,CCR,CCB
ECO00064,6108.6,8.75,10.78,151.746,27.689,6108.6,1.29,1.0
ECO00065,5704.5,9.09,14.45,194.569,27.803,6589.0,1.42,1.42
ECO00066,6310.9,9.31,13.42,155.164,25.56,6085.3,1.25,1.0
ECO00067,6221.7,8.41,10.75,158.067,25.339,6221.7,1.56,1.0
ECO00068,6163.3,8.59,10.75,161.085,15.511,6163.3,1.49,1.0
ECO00069,6262.9,8.47,10.77,161.707,26.309,6262.9,1.51,1.0
ECO00070,6515.0,8.41,11.28,163.987,26.635,6501.9,1.58,1.0
ECO00071,6188.1,8.85,11.86,165.864,24.911,6286.9,1.27,1.0
ECO00072,6668.4,8.51,10.75,166.001,25.893,6668.4,1.57,1.0
ECO00073,6716.5,8.45,10.78,169.334,27.872,6716.5,1.51,1.0
ECO00074,5248.0,9.01,10.75,194.309,27.254,5248.0,1.42,1.0
ECO00075,6956.5,8.89,10.76,174.751,26.611,6956.5,1.46,1.0
ECO00076,6866.2,8.53,12.6,174.867,26.49,6833.7,1.58,1.0
ECO00077,6810.5,8.57,11.65,175.379,25.935,6831.0,1.43,1.0
ECO00078,6847.6,8.61,10.76,175.531,26.122,6847.6,1.38,1.0
ECO00079,6883.3,8.69,10.76,184.953,26.286,6883.3,1.44,1.0
ECO00080,6605.8,8.67,10.79,189.443,26.299,6605.8,1.45,1.0
ECO00081,6718.8,8.87,10.92,189.553,26.492,6814.2,1.4,1.0
ECO00082,6909.6,8.71,10.92,189.621,26.374,6814.2,1.4,1.0
ECO00083,6021.3,8.81,10.77,189.867,26.672,6021.3,1.33,1.0
ECO00084,6704.1,8.71,10.8,194.018,27.285,6704.1,1.3,1.0
ECO00085,6923.7,8.67,10.76,193.324,26.339,6923.7,1.42,1.0
ECO00086,3998.9,8.91,10.97,199.191,26.212,3991.8,1.11,1.0
ECO00087,6414.1,8.51,12.58,201.016,13.936,6447.8,1.4,1.0
ECO00088,6630.9,8.37,10.77,201.442,13.91,6630.9,1.43,1.0
ECO00089,6940.8,8.55,10.75,202.821,9.353,6940.8,1.56,1.0
ECO00090,6791.4,8.93,12.45,207.882,14.045,6889.1,1.46,1.0
ECO00091,6745.2,8.71,10.86,208.076,6.92,6745.2,1.17,1.0
ECO00092,6884.5,8.51,10.76,208.195,8.598,6884.5,1.41,1.0
ECO00093,6774.4,8.69,10.81,208.219,14.208,6774.4,1.3,1.0
ECO00094,2745.8,8.39,10.78,147.919,14.038,2745.8,1.38,1.0
ECO00095,5386.5,8.65,10.75,210.756,12.485,5386.5,1.47,1.0
ECO00096,6734.1,9.01,13.48,210.922,9.534,7017.2,1.38,1.0
ECO00097,4659.2,8.33,11.4,211.204,11.699,4640.8,1.47,1.0
ECO00098,6741.5,8.43,10.77,214.188,10.97,6741.5,1.41,1.0
ECO00099,6539.1,8.55,10.75,226.03,10.62,6539.1,1.4,1.0
ECO00100,6374.4,8.63,10.76,229.282,10.524,6374.4,1.43,1.0
ECO00101,3770.5,8.57,10.74,236.613,8.657,3770.5,1.46,1.0
ECO00102,5802.3,9.03,11.02,157.303,25.396,5802.3,1.11,1.0
ECO00103,5585.3,8.37,11.76,211.335,10.411,5435.0,1.17,1.0
ECO00104,4076.5,8.41,10.76,131.696,13.164,4076.5,1.54,1.0
ECO00105,4432.3,8.85,12.13,214.619,26.496,4472.8,1.19,1.0
ECO00106,6666.2,8.45,11.23,227.321,10.852,6628.6,1.55,1.0
ECO00107,6919.8,8.65,12.93,201.07,9.675,6987.5,1.39,1.0
ECO00108,6174.9,8.69,11.04,156.123,24.423,6185.7,1.52,1.0
ECO00109,6487.9,8.93,11.81,178.894,27.363,6510.8,1.48,1.0
ECO00110,6850.6,8.93,10.75,195.047,27.46,6850.6,1.39,1.0
ECO00111,6177.0,8.31,10.79,178.622,25.15,6177.0,1.51,1.0
ECO00112,6873.4,8.47,10.75,174.809,25.787,6873.4,1.47,1.0
ECO00113,6023.2,8.87,10.86,178.755,25.461,6023.2,1.14,1.0
ECO00114,6356.7,8.39,10.77,161.928,27.458,6356.7,1.49,1.0
ECO00115,6240.8,8.65,12.44,157.946,24.858,6176.8,1.38,1.0
ECO00116,6751.3,8.67,12.07,175.079,25.392,6703.4,1.46,1.0
ECO00117,5651.8,9.63,11.78,162.362,15.851,5615.2,1.09,1.0
ECO00118,6475.7,8.67,10.81,206.819,13.298,6475.7,1.31,1.0
ECO00119,2945.5,8.55,10.76,161.339,13.714,2945.5,1.5,1.0
ECO00120,5708.7,8.43,10.76,140.191,13.948,5708.7,1.46,1.0
ECO00121,6107.3,8.51,10.93,207.764,13.983,6132.6,1.49,1.0
ECO00122,6929.3,8.79,10.77,207.601,13.857,6929.3,1.43,1.0
ECO00123,6846.4,8.95,13.03,208.026,14.13,6815.7,1.21,1.0
ECO00124,5522.4,8.75,10.88,212.888,4.482,5522.4,1.16,1.0
ECO00125,4871.3,8.37,10.75,216.526,27.244,4871.3,1.56,1.0
ECO00126,5844.0,8.67,13.42,155.217,25.819,6085.3,1.52,1.0
ECO00127,6887.0,9.07,11.26,175.195,26.383,6883.3,1.42,1.0
ECO00128,6459.1,8.57,10.78,179.612,27.076,6459.1,1.48,1.0
ECO00129,6849.7,8.69,10.81,193.957,27.089,6849.7,1.32,1.0
ECO00130,6387.2,8.41,10.82,200.379,6.601,6387.2,1.39,1.0
ECO00131,6918.4,8.75,10.81,211.23,8.921,6918.4,1.36,1.0
ECO00132,6419.5,9.15,14.45,194.811,27.896,6589.0,1.35,1.42
ECO00133,6937.0,9.17,14.45,194.848,27.92,6589.0,1.11,1.42
ECO00134,6479.8,8.99,10.77,194.481,27.232,6479.8,1.34,1.0
ECO00135,5125.0,8.63,10.76,166.061,5.127,5125.0,1.38,1.0
ECO00136,2633.0,8.71,10.75,178.314,11.634,2633.0,1.52,1.0
ECO00137,5549.7,8.47,10.76,171.862,6.885,5549.7,1.39,1.0
ECO00138,5835.0,8.17,11.4,177.394,6.96,5913.1,1.56,1.0
ECO00139,6865.4,8.39,10.77,180.671,8.158,6865.4,1.41,1.0
ECO00140,5617.4,8.35,10.8,171.905,8.501,5617.4,1.5,1.0
ECO00141,6170.1,8.59,10.75,166.831,5.411,6170.1,1.46,1.0
ECO00142,6174.4,8.43,10.75,172.502,7.661,6174.4,1.55,1.0
ECO00143,6703.9,9.15,11.68,181.385,14.29,6854.7,1.12,1.0
ECO00144,6591.8,8.33,11.22,184.029,14.21,6542.4,1.49,1.0
ECO00145,6279.6,8.31,10.76,182.807,14.165,6279.6,1.62,1.0
ECO00146,6339.7,8.79,11.16,176.832,15.475,6332.9,1.21,1.0
ECO00147,3565.8,8.45,10.76,234.726,8.594,3565.8,1.52,1.0
ECO00148,6965.0,8.63,10.75,206.809,6.913,6965.0,1.49,1.0
ECO00149,6992.5,8.55,10.91,205.341,6.007,6992.0,1.46,1.0
ECO00150,6788.3,8.57,10.78,215.196,6.735,6788.3,1.45,1.0
ECO00151,6913.3,8.47,11.11,205.795,7.767,6951.9,1.53,1.0
ECO00152,3320.9,8.45,10.77,179.083,6.173,3320.9,1.38,1.0
ECO00153,6574.3,8.33,10.77,230.799,6.317,6574.3,1.46,1.0
ECO00154,4907.0,8.55,11.18,209.098,10.104,4887.4,1.36,1.0
ECO00155,6962.1,8.67,10.77,209.654,10.039,6962.1,1.34,1.0
ECO00156,6956.8,8.27,11.12,216.448,12.229,6923.7,1.52,1.0
ECO00157,5915.5,8.77,10.83,215.859,12.968,5915.5,1.25,1.0
ECO00158,5682.9,8.77,11.52,216.294,13.727,5614.5,1.39,1.0
ECO00159,5052.0,8.35,10.75,214.728,13.814,5052.0,1.55,1.0
ECO00160,6134.5,8.49,10.77,178.777,14.467,6134.5,1.38,1.0
ECO00161,5991.7,8.41,10.82,177.657,14.453,5991.7,1.37,1.0
ECO00162,6643.2,8.45,11.73,178.302,15.114,6680.6,1.46,1.0
ECO00163,6584.3,8.19,10.77,193.867,15.882,6584.3,1.43,1.0
ECO00164,6100.1,8.67,11.65,135.745,25.675,6030.8,1.41,1.0
